,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,
ACTG    ,0,0,0,0,0,3.01558,3.02182,3.03008,3.03155,3.03344,3.03344,3.03463,3.03056,3.03056,3.03056,3.03056,
ACU     ,0,0,0,0,0,0,0,0,17.11,17.11,17.11,16.87,16.87,16.87,16.87,16.87,
ACV     ,0,0,0,0,0,20.8029,20.8406,20.8406,20.8952,20.9167,20.9243,20.9243,20.9243,20.9243,20.9243,20.9243,
ACWF    ,0,0,0,0,0,0,28.03,28.03,28.03,28.0933,28.1171,28.1171,28.1171,28.1171,28.1171,28.1171,
ACWI    ,0,0,0,0,0,66.1082,62.5636,62.8773,61.3527,59.7474,60.4953,60.4192,60.6056,60.6056,60.6056,60.6056,
ACWV    ,0,0,0,0,0,84.2423,84.27,84.2701,84.2932,84.3434,84.5402,84.7151,84.7151,84.7151,84.7151,84.7151,
ACWX    ,0,0,0,0,0,41.1109,34.1822,34.9826,35.5664,36.2341,36.394,37.4221,37.4522,37.4522,37.4522,37.4522,
ACY     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADAP    ,0,0,0,0,0,4.36195,4.46136,4.42311,4.37814,4.39708,4.40359,4.37629,4.40691,4.40691,4.40691,4.40691,
ADBE    ,0,0,0,0,239.892,238.281,235.498,235.467,234.858,234.616,234.924,233.825,235.652,235.662,235.666,235.666,
ADC     ,0,0,0,0,0,64.3853,64.547,64.6118,64.7273,64.374,64.4618,64.3002,64.3002,64.3002,64.3002,64.3002,
ADES    ,0,0,0,0,0,11.4824,11.4965,11.5159,11.5093,11.4831,11.4833,11.4851,11.4836,11.4836,11.4836,11.4836,
ADI     ,0,0,0,0,0,95.0598,94.3182,94.9642,95.2008,95.2196,95.2031,94.5865,95.4265,95.4265,95.4266,95.4266,
ADIL    ,0,0,0,0,0,4.95595,4.93268,5.01231,5.42374,5.42299,5.42873,5.44554,5.44632,5.44632,5.44619,5.44619,
ADILW   ,0,0,0,0,0,0,0.749975,0.74988,0.749414,0.749414,0.749414,0.749414,0.749414,0.749414,0.749414,0.749414,
ADM     ,0,0,44.69,44.69,44.69,41.5789,41.5522,42.1855,42.3487,42.4908,42.4069,42.271,42.271,42.271,42.271,42.271,
ADMA    ,0,0,0,0,0,3.0612,2.99014,2.94503,2.94536,2.93079,2.93979,2.95033,2.98569,2.98569,2.98569,2.98569,
ADMP    ,0,0,0,0,0,3.14481,3.14218,3.13888,3.13746,3.12484,3.10172,3.0964,3.09631,3.09631,3.09631,3.09631,
ADMS    ,0,0,0,0,0,8.46451,8.22287,8.32087,8.39625,8.38335,8.48021,8.37433,8.42142,8.42142,8.42142,8.42142,
ADNT    ,0,0,0,0,0,18.6147,17.8356,18.0256,18.1761,18.1511,18.1568,18.3196,18.3196,18.3196,18.3196,18.3196,
ADOM    ,0,0,0,0,0,0.260624,0.259543,0.256923,0.256922,0.256581,0.256518,0.253228,0.253228,0.253228,0.253228,0.253228,
ADP     ,0,0,0,137.996,137.607,129.786,130.897,130.958,131.37,131.667,132.629,133.568,134.642,134.642,134.642,134.643,
ADRA    ,0,0,0,0,0,0,0,0,30.25,30.25,30.4125,30.4129,30.4129,30.4129,30.4129,30.4129,
ADRD    ,0,0,0,0,0,0,0,0,20.59,20.59,20.6183,20.6183,20.6183,20.6183,20.6183,20.6183,
ADRE    ,0,0,0,0,0,39.06,39.0255,39.0354,39.0354,39.0354,39.1347,39.1347,39.139,39.139,39.139,39.139,
ADRO    ,0,0,0,0,0,2.35412,2.31559,2.31852,2.31981,2.35261,2.38493,2.45526,2.56827,2.56827,2.56827,2.56827,
ADRU    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ADS     ,0,0,0,0,0,177.167,174.669,175.672,175.501,175.462,175.935,176.643,176.643,176.643,176.643,176.643,
ADSK    ,0,0,0,0,0,141.095,139.895,139.959,140.058,140.137,140.81,141.174,141.983,141.984,141.984,141.984,
ADSW    ,0,0,0,0,0,20.3909,23.1385,23.7417,23.7963,24.0609,23.9606,24.1527,24.1527,24.1527,24.1527,24.1527,
ADT     ,0,0,0,0,0,6.89249,6.81878,6.88532,6.94973,6.8018,6.89653,6.92508,6.92508,6.92508,6.92508,6.92508,
ADTN    ,0,0,0,0,0,13.8505,13.9141,14.1355,14.2003,14.2492,14.2016,13.7791,13.997,13.997,13.997,13.997,
ADUS    ,0,0,0,0,0,53.9407,53.5947,53.041,53.9056,54.7074,54.7088,54.1012,55.4363,55.4363,55.4363,55.4363,
ADVM    ,0,0,0,0,0,2.96651,2.9603,2.94983,2.97132,2.97677,2.97973,2.98427,2.99566,2.99566,2.99566,2.99566,
ADX     ,0,0,0,0,0,13.52,13.5167,13.2322,13.3377,13.3861,13.4003,13.4389,13.4389,13.4389,13.4389,13.4389,
ADXS    ,0,0,0,0,0,0.358613,0.348093,0.348015,0.346729,0.346309,0.344758,0.344298,0.344298,0.344298,0.344298,0.344298,
AE      ,0,0,0,0,0,39.8217,39.4452,39.4452,39.4452,39.4452,39.4452,39.3059,39.3059,39.3059,39.3059,39.3059,
